channel	channel	The "channel" word.	General
channels	channels	The "channels" word.	General

msg_access_denied	We are sorry, but you cannot view this channel.	The message "Access denied".	Messages
msg_channel_not_found	Channel not available.	The message "Channel not available" for not found channels.	Messages
msg_no_videos	No videos.	The message "No videos".	Messages
msg_no_channels	No channels.	No channels message.	Messages
